equipment_id,equipment_type,model,serial_number,location,status,install_date,last_maintenance_date,operating_hours
AC-001,Air Compressor,Model-471,SN-541591,Warehouse,Active,2022-12-28,2025-09-17,38946.2
HS-002,HVAC System,Model-423,SN-833873,Yard,Active,2018-09-19,2025-10-01,26986.5
M-003,Mixer,Model-495,SN-276023,Building A,Active,2022-07-13,2025-07-30,39149.5
F-004,Forklift,Model-397,SN-290965,Production Floor,Active,2019-03-27,2025-07-24,31955.3
CT-005,Cooling Tower,Model-910,SN-594262,Building B,Active,2022-11-16,2025-09-12,28148.8
G-006,Gearbox,Model-336,SN-752420,Production Floor,Active,2023-11-03,2025-11-24,15827.7
HP-007,Hydraulic Pump,Model-761,SN-737485,Building B,Active,2020-08-24,2025-12-24,15098.0
CP-008,Centrifugal Pump,Model-603,SN-468019,Yard,Active,2023-12-09,2025-09-15,5658.4
HP-009,Hydraulic Press,Model-252,SN-559610,Yard,Active,2021-08-23,2025-08-25,18972.9
HP-010,Hydraulic Pump,Model-506,SN-755227,Yard,Active,2024-02-22,2025-12-08,23867.9
CP-011,Centrifugal Pump,Model-178,SN-141116,Building B,Active,2022-10-16,2025-09-14,33737.2
HS-012,HVAC System,Model-191,SN-311855,Building B,Active,2019-09-16,2025-08-17,46948.5
CT-013,Cooling Tower,Model-211,SN-205315,Warehouse,Active,2020-07-25,2025-11-14,30400.4
AC-014,Air Compressor,Model-739,SN-264886,Building B,Active,2019-01-04,2025-09-08,14762.6
CP-015,Centrifugal Pump,Model-794,SN-670590,Building A,Active,2022-07-17,2025-11-30,28391.9
B-016,Blower,Model-723,SN-890304,Production Floor,Active,2023-06-09,2025-09-11,5868.0
CB-017,Conveyor Belt,Model-355,SN-892571,Production Floor,Active,2021-07-28,2025-12-18,5549.3
ST-018,Storage Tank,Model-973,SN-379481,Production Floor,Active,2023-09-30,2025-11-16,22200.7
M-019,Mixer,Model-849,SN-407562,Building B,Active,2019-12-24,2025-08-13,31009.7
G-020,Gearbox,Model-107,SN-499953,Building A,Active,2019-06-30,2025-07-21,17727.0
HS-021,HVAC System,Model-713,SN-909349,Yard,Active,2022-10-27,2025-09-18,36431.3
HS-022,HVAC System,Model-334,SN-132178,Building A,Active,2023-06-29,2025-09-01,4038.5
G-023,Gearbox,Model-329,SN-829725,Warehouse,Active,2019-09-10,2025-07-29,41534.2
HS-024,HVAC System,Model-126,SN-436233,Warehouse,Active,2018-12-10,2025-08-08,47804.6
B-025,Boiler,Model-676,SN-745794,Warehouse,Active,2018-09-16,2025-09-19,11929.7
CT-026,Cooling Tower,Model-549,SN-815497,Building A,Active,2020-08-10,2025-11-02,18193.3
C-027,Chiller,Model-981,SN-545083,Yard,Active,2018-11-22,2025-09-02,27424.1
B-028,Boiler,Model-867,SN-700075,Building B,Active,2019-03-18,2025-08-09,26102.7
HP-029,Hydraulic Press,Model-270,SN-310809,Building B,Active,2022-12-19,2025-10-03,40830.1
M-030,Mixer,Model-784,SN-126322,Building B,Active,2022-06-15,2025-10-31,1124.2
CT-031,Cooling Tower,Model-457,SN-874457,Production Floor,Active,2019-11-21,2025-11-14,25781.8
RA-032,Robotic Arm,Model-821,SN-948203,Warehouse,Active,2023-11-13,2025-11-01,26328.3
ST-033,Storage Tank,Model-944,SN-387189,Warehouse,Inactive,2022-01-18,2025-11-05,29852.3
F-034,Forklift,Model-483,SN-431575,Yard,Active,2024-04-26,2025-09-19,8114.4
F-035,Forklift,Model-757,SN-975038,Yard,Active,2022-04-16,2025-09-05,2205.1
AC-036,Air Compressor,Model-469,SN-386828,Building A,Active,2021-04-10,2025-09-07,24820.7
C-037,Chiller,Model-102,SN-850257,Building B,Active,2023-04-10,2025-07-15,37519.4
B-038,Boiler,Model-243,SN-649435,Production Floor,Active,2022-03-19,2025-09-24,24959.0
F-039,Forklift,Model-243,SN-685256,Yard,Active,2021-04-20,2025-11-01,8375.7
F-040,Forklift,Model-432,SN-421399,Production Floor,Active,2019-05-08,2025-07-22,12308.3
M-041,Mixer,Model-508,SN-404659,Warehouse,Active,2019-09-01,2025-07-29,35478.0
CP-042,Centrifugal Pump,Model-783,SN-461059,Yard,Active,2019-07-11,2025-12-14,20325.2
B-043,Blower,Model-161,SN-592788,Warehouse,Active,2023-06-05,2026-01-10,49612.7
B-044,Boiler,Model-600,SN-879203,Building B,Active,2019-10-04,2026-01-08,25808.6
B-045,Blower,Model-904,SN-330453,Production Floor,Active,2024-03-24,2025-11-28,40780.5
C-046,Crane,Model-174,SN-535441,Production Floor,Active,2024-05-29,2025-11-10,1216.4
G-047,Gearbox,Model-252,SN-292124,Warehouse,Active,2019-11-09,2025-11-17,41678.1
F-048,Forklift,Model-913,SN-738059,Building B,Active,2021-10-02,2025-10-06,4992.8
CP-049,Centrifugal Pump,Model-143,SN-266702,Yard,Active,2023-08-30,2025-11-01,15461.8
RA-050,Robotic Arm,Model-168,SN-168532,Production Floor,Active,2023-06-05,2025-11-11,38903.6
F-051,Forklift,Model-719,SN-723529,Warehouse,Active,2024-01-15,2025-11-18,44197.0
C-052,Crane,Model-164,SN-338181,Yard,Active,2019-05-11,2025-12-26,38869.1
C-053,Chiller,Model-628,SN-775731,Building A,Active,2021-08-09,2025-10-25,18352.6
CP-054,Centrifugal Pump,Model-913,SN-124867,Warehouse,Active,2021-04-14,2025-08-21,34845.2
B-055,Boiler,Model-605,SN-916210,Building B,Active,2023-12-31,2025-07-17,11743.0
EM-056,Electric Motor,Model-800,SN-109480,Building B,Inactive,2021-08-20,2025-11-17,36475.5
CP-057,Centrifugal Pump,Model-650,SN-419236,Production Floor,Active,2018-08-09,2025-07-31,2825.6
HS-058,HVAC System,Model-428,SN-364294,Building A,Active,2022-12-21,2025-09-16,10620.6
M-059,Mixer,Model-878,SN-149085,Yard,Active,2020-01-01,2025-11-03,39583.1
RA-060,Robotic Arm,Model-705,SN-958751,Building A,Active,2024-06-25,2025-09-09,47546.7
M-061,Mixer,Model-406,SN-247054,Building B,Active,2019-07-17,2025-09-17,36968.5
HP-062,Hydraulic Press,Model-926,SN-395587,Yard,Active,2020-07-12,2025-09-26,16642.2
EM-063,Electric Motor,Model-896,SN-547471,Yard,Active,2019-04-10,2025-12-27,25761.9
B-064,Boiler,Model-443,SN-256677,Yard,Active,2019-04-20,2025-08-01,38241.1
C-065,Chiller,Model-250,SN-377037,Warehouse,Active,2019-01-26,2026-01-01,49404.9
CP-066,Centrifugal Pump,Model-901,SN-544389,Yard,Active,2022-04-15,2025-11-18,10945.5
CB-067,Conveyor Belt,Model-181,SN-942144,Production Floor,Active,2022-10-11,2025-10-03,16486.3
EM-068,Electric Motor,Model-463,SN-510184,Yard,Active,2022-04-03,2025-12-23,4007.1
B-069,Boiler,Model-834,SN-460653,Production Floor,Active,2023-08-30,2025-09-07,33968.3
B-070,Boiler,Model-758,SN-627934,Building A,Active,2023-11-23,2025-12-09,48286.0
HS-071,HVAC System,Model-449,SN-680238,Building A,Active,2023-11-29,2025-12-20,43113.0
RA-072,Robotic Arm,Model-142,SN-267340,Building B,Active,2020-06-19,2025-10-14,8793.6
B-073,Blower,Model-667,SN-957752,Production Floor,Active,2020-03-26,2025-09-28,21441.9
RA-074,Robotic Arm,Model-619,SN-699349,Building B,Active,2021-01-12,2025-10-04,19445.2
HP-075,Hydraulic Pump,Model-587,SN-664489,Building A,Inactive,2019-03-25,2025-12-23,11958.8
F-076,Forklift,Model-926,SN-279923,Production Floor,Active,2018-12-16,2025-11-30,22145.5
B-077,Boiler,Model-921,SN-696894,Production Floor,Active,2022-10-07,2025-09-08,9445.9
EM-078,Electric Motor,Model-108,SN-822049,Production Floor,Active,2022-10-03,2025-09-08,21074.6
CB-079,Conveyor Belt,Model-977,SN-314174,Building A,Active,2019-09-09,2025-12-01,22419.7
C-080,Chiller,Model-472,SN-713850,Warehouse,Active,2018-12-31,2025-10-22,7722.2
C-081,Crane,Model-684,SN-167729,Production Floor,Active,2019-05-14,2025-09-23,24445.5
CT-082,Cooling Tower,Model-501,SN-513773,Building A,Active,2019-06-20,2025-12-23,46404.7
ST-083,Storage Tank,Model-890,SN-205025,Building B,Active,2018-08-07,2025-10-15,4765.3
M-084,Mixer,Model-186,SN-167485,Yard,Active,2022-09-03,2025-10-01,40749.1
HP-085,Hydraulic Pump,Model-639,SN-357218,Building A,Active,2021-08-28,2025-10-20,36193.6
CP-086,Centrifugal Pump,Model-876,SN-721047,Building A,Active,2019-04-10,2025-11-02,48728.3
CP-087,Centrifugal Pump,Model-606,SN-655953,Production Floor,Active,2019-03-13,2025-12-22,25940.2
HP-088,Hydraulic Press,Model-889,SN-951884,Building A,Active,2021-11-13,2025-08-18,11487.7
CT-089,Cooling Tower,Model-754,SN-212032,Yard,Active,2022-10-24,2025-08-22,12172.3
C-090,Crane,Model-470,SN-186599,Yard,Active,2021-10-09,2025-08-26,44082.7
CB-091,Conveyor Belt,Model-233,SN-578512,Building B,Active,2021-03-21,2025-11-12,31641.7
G-092,Gearbox,Model-483,SN-490853,Building B,Active,2020-02-05,2025-11-01,24605.8
RA-093,Robotic Arm,Model-876,SN-241515,Building A,Active,2022-06-01,2025-11-27,10053.0
RA-094,Robotic Arm,Model-868,SN-428285,Building A,Active,2023-02-03,2025-09-16,29194.5
F-095,Forklift,Model-584,SN-778671,Yard,Active,2018-09-24,2025-12-14,3115.7
AC-096,Air Compressor,Model-536,SN-494006,Building A,Active,2019-11-20,2025-11-15,22308.5
C-097,Crane,Model-309,SN-428657,Building A,Active,2021-02-14,2025-08-05,43978.7
B-098,Blower,Model-530,SN-626029,Warehouse,Active,2020-12-17,2025-10-26,19465.7
C-099,Chiller,Model-579,SN-786151,Production Floor,Active,2019-03-28,2025-10-15,19286.3
HP-100,Hydraulic Pump,Model-360,SN-350965,Building B,Active,2018-09-21,2025-11-04,21851.2
