part_number,part_description,category,quantity_on_hand,reorder_point,unit_cost,location_bin,last_ordered_date
THE-698,Digital Thermostat,Thermostats,1,5,175.22,B-01-D,2026-01-04
MOT-699,Stepper Motor,Motors,23,15,644.04,E-16-B,
FIL-700,Fuel Filter,Filters,6,11,62.64,E-18-B,
FAN-701,Exhaust Fan,Fans,15,10,453.57,D-11-C,
FAN-702,Axial Fan 24in,Fans,2,14,381.17,A-01-C,2025-10-08
ENC-703,Incremental Encoder,Encoders,13,12,961.11,D-04-A,2025-09-05
BEL-704,V-Belt A-Section,Belts,5,11,63.45,A-03-C,
BEA-705,Thrust Bearing,Bearings,0,16,107.07,F-02-B,2025-12-26
COM-706,Screw Compressor,Compressors,21,9,2678.72,C-12-D,
HOS-707,Water Hose,Hoses,21,9,62.93,C-04-A,2025-09-01
BEA-708,Roller Bearing 6205,Bearings,8,14,98.86,E-12-B,
FAN-709,Cooling Fan,Fans,7,15,342.51,A-15-D,2025-07-21
BEA-710,Pillow Block Bearing,Bearings,24,9,71.02,F-03-C,2026-01-01
MOT-711,Servo Motor,Motors,13,8,643.05,A-01-C,2025-11-28
VAL-712,Solenoid Valve 24V,Valves,0,17,141.96,E-02-D,
FAN-713,Exhaust Fan,Fans,22,11,265.46,A-12-C,2025-10-20
BEA-714,Thrust Bearing,Bearings,22,7,83.09,B-03-A,
COM-715,Screw Compressor,Compressors,8,11,2969.23,B-01-C,2025-10-29
MOT-716,DC Motor 3HP,Motors,20,11,488.23,D-13-B,
THE-717,Analog Thermostat,Thermostats,4,20,233.45,C-11-B,2025-07-14
FIL-718,Oil Filter Cartridge,Filters,29,16,37.76,E-04-C,2025-10-07
BEL-719,V-Belt A-Section,Belts,16,19,63.64,B-08-B,2025-10-10
COM-720,Scroll Compressor,Compressors,4,10,2026.25,C-08-D,
PUM-721,Centrifugal Pump 3HP,Pumps,23,13,1302.54,E-14-C,
IMP-722,Open Impeller,Impellers,8,20,259.51,A-06-D,
COM-723,Screw Compressor,Compressors,15,19,2716.19,C-05-B,2025-12-20
BEL-724,V-Belt A-Section,Belts,25,10,75.95,D-02-C,
PUM-725,Submersible Pump,Pumps,17,17,964.27,E-06-D,2025-12-09
ENC-726,Absolute Encoder,Encoders,14,13,668.27,F-10-C,2025-09-19
SER-727,Servo Gearbox,Servos,17,14,1386.87,C-17-A,2025-09-14
SER-728,Servo Gearbox,Servos,30,20,2303.85,A-20-C,
THE-729,Digital Thermostat,Thermostats,20,9,181.44,D-03-B,2025-12-24
MOT-730,Servo Motor,Motors,22,16,378.89,D-16-D,2025-08-06
THE-731,Digital Thermostat,Thermostats,3,11,192.16,C-12-A,
THE-732,Wireless Thermostat,Thermostats,22,13,227.08,F-13-B,
VAL-733,Pressure Relief Valve,Valves,22,12,111.92,B-11-C,2025-10-03
CYL-734,Hydraulic Cylinder 4in,Cylinders,9,8,904.98,F-20-A,2025-09-22
BEA-735,Thrust Bearing,Bearings,29,20,91.73,A-20-B,2025-12-16
BEL-736,Serpentine Belt,Belts,16,6,87.92,B-03-D,2025-08-17
BEA-737,Ball Bearing SKF,Bearings,19,14,80.3,A-07-A,2025-08-12
IMP-738,Pump Impeller 6in,Impellers,27,5,282.18,F-13-B,
ENC-739,Absolute Encoder,Encoders,30,10,932.47,C-07-D,2025-08-20
HOS-740,Air Hose 50ft,Hoses,21,18,52.12,D-06-C,2026-01-05
ENC-741,Linear Encoder,Encoders,11,9,978.31,D-02-D,
BEA-742,Pillow Block Bearing,Bearings,0,19,85.31,B-11-D,2025-11-30
SER-743,Servo Motor 2kW,Servos,8,5,2184.22,F-04-C,
PUM-744,Centrifugal Pump 3HP,Pumps,20,13,1290.75,C-02-D,2025-08-02
SER-745,Servo Controller,Servos,8,10,1524.29,C-09-D,
PUM-746,Gear Pump,Pumps,2,17,1029.02,B-16-A,
PUM-747,Gear Pump,Pumps,10,13,920.34,E-16-C,2025-11-21
COI-748,Condenser Coil,Coils,17,11,388.9,D-18-A,2025-09-28
SEA-749,Face Seal Assembly,Seals,6,11,178.74,D-20-B,2025-10-12
FAN-750,Axial Fan 24in,Fans,22,5,363.74,C-12-A,2025-09-19
COM-751,Rotary Compressor,Compressors,5,8,1852.77,A-01-C,2025-12-18
COM-752,Reciprocating Compressor,Compressors,7,5,3068.09,B-08-C,2025-12-22
THE-753,Digital Thermostat,Thermostats,3,8,129.36,D-20-A,2025-12-19
BEL-754,V-Belt A-Section,Belts,6,6,87.29,D-13-B,
SEA-755,O-Ring Set,Seals,29,18,149.76,E-15-A,
MOT-756,DC Motor 3HP,Motors,16,8,357.47,F-17-C,
COI-757,Cooling Coil,Coils,26,15,356.68,D-17-C,2025-12-24
MOT-758,Stepper Motor,Motors,14,20,498.77,B-16-A,2025-10-08
ENC-759,Linear Encoder,Encoders,17,11,841.95,B-14-D,
ENC-760,Linear Encoder,Encoders,18,19,1165.23,A-18-B,
HOS-761,Water Hose,Hoses,21,15,44.47,F-06-A,
HOS-762,Chemical Transfer Hose,Hoses,18,7,58.23,E-18-B,2025-07-17
IMP-763,Pump Impeller 6in,Impellers,20,6,338.22,D-12-C,
IMP-764,Open Impeller,Impellers,28,8,240.58,C-14-B,2025-12-13
FIL-765,Fuel Filter,Filters,15,18,58.34,F-15-A,2025-11-07
MOT-766,Stepper Motor,Motors,2,14,594.24,C-14-C,
MOT-767,Stepper Motor,Motors,11,18,588.41,B-20-C,2025-08-01
VAL-768,Check Valve 2in,Valves,19,16,175.8,F-07-C,2025-07-15
MOT-769,DC Motor 3HP,Motors,30,7,431.32,C-08-D,2025-08-13
BEL-770,V-Belt A-Section,Belts,4,17,63.29,F-05-D,2025-11-18
IMP-771,Closed Impeller,Impellers,24,19,287.08,B-09-D,2026-01-03
BEA-772,Ball Bearing SKF,Bearings,13,8,76.11,E-08-B,2025-07-15
ENC-773,Linear Encoder,Encoders,2,11,643.47,E-09-D,
VAL-774,Solenoid Valve 24V,Valves,2,5,155.04,D-01-C,2025-10-23
HOS-775,Hydraulic Hose 1/2in,Hoses,10,5,46.62,D-14-A,2025-09-10
PUM-776,Diaphragm Pump,Pumps,27,5,1367.45,C-16-B,2025-09-18
BEL-777,V-Belt A-Section,Belts,26,5,64.89,E-14-B,2025-10-04
THE-778,Programmable Thermostat,Thermostats,27,17,155.75,B-19-B,2025-09-07
BEA-779,Ball Bearing SKF,Bearings,4,6,122.55,D-10-B,2025-09-02
PUM-780,Submersible Pump,Pumps,20,14,1165.67,E-20-C,2025-10-28
COM-781,Screw Compressor,Compressors,6,9,3173.62,C-16-C,2025-11-03
COM-782,Scroll Compressor,Compressors,26,11,2711.34,A-07-B,
COM-783,Reciprocating Compressor,Compressors,28,14,2159.45,B-13-D,2025-12-08
BEA-784,Thrust Bearing,Bearings,26,11,80.29,A-17-C,2025-09-16
BEL-785,V-Belt A-Section,Belts,22,6,72.83,C-05-D,2025-12-31
MOT-786,DC Motor 3HP,Motors,2,18,540.53,E-16-C,
BEA-787,Pillow Block Bearing,Bearings,25,8,128.91,F-17-C,2025-10-01
IMP-788,Pump Impeller 6in,Impellers,28,14,380.97,E-13-B,
SEA-789,Face Seal Assembly,Seals,24,12,161.27,F-11-C,
THE-790,Programmable Thermostat,Thermostats,5,8,159.97,A-02-B,2025-10-02
BEA-791,Roller Bearing 6205,Bearings,19,18,111.99,D-01-C,
COM-792,Screw Compressor,Compressors,8,18,3127.24,B-13-B,2025-12-11
PUM-793,Submersible Pump,Pumps,28,20,1478.19,D-05-A,2025-11-18
BEA-794,Ball Bearing SKF,Bearings,12,11,113.11,C-02-D,2025-09-11
CYL-795,Tie-Rod Cylinder,Cylinders,8,11,1034.65,D-02-D,2025-12-17
CYL-796,Tie-Rod Cylinder,Cylinders,11,7,954.55,B-15-B,2025-12-14
VAL-797,Pressure Relief Valve,Valves,10,11,157.87,F-05-D,2025-08-17
PUM-798,Gear Pump,Pumps,21,12,1332.16,B-15-B,2025-08-30
THE-799,Digital Thermostat,Thermostats,3,7,142.49,C-02-B,2025-12-23
CYL-800,Hydraulic Cylinder 4in,Cylinders,17,15,795.99,B-17-C,
ENC-801,Rotary Encoder,Encoders,20,13,1164.66,F-19-B,
SER-802,Servo Controller,Servos,2,16,2045.0,B-19-C,2025-12-08
BEL-803,Serpentine Belt,Belts,2,6,91.3,A-07-D,
ENC-804,Incremental Encoder,Encoders,26,7,1040.03,B-02-C,
BEL-805,Flat Belt 6in,Belts,2,6,81.7,F-07-A,2025-07-23
FIL-806,Air Filter Element,Filters,23,13,43.54,F-04-D,2025-11-24
COI-807,Evaporator Coil,Coils,24,10,455.12,E-10-B,2025-08-03
FAN-808,Axial Fan 24in,Fans,22,20,316.56,B-09-B,2025-09-01
SER-809,Servo Drive,Servos,22,13,1332.88,D-10-C,2025-09-29
IMP-810,Semi-Open Impeller,Impellers,8,18,345.32,E-11-A,2025-08-16
VAL-811,Pressure Relief Valve,Valves,23,11,127.63,D-04-C,
HOS-812,Chemical Transfer Hose,Hoses,4,14,70.12,C-17-B,2025-07-30
IMP-813,Semi-Open Impeller,Impellers,11,6,316.14,E-07-B,2025-10-08
THE-814,Wireless Thermostat,Thermostats,12,8,140.6,B-07-D,2025-08-28
BEA-815,Thrust Bearing,Bearings,26,10,113.98,F-07-D,
HOS-816,Air Hose 50ft,Hoses,13,15,61.51,F-10-B,
FIL-817,Hydraulic Filter 10 Micron,Filters,27,14,48.51,F-08-C,2025-10-24
MOT-818,Stepper Motor,Motors,14,19,641.08,B-13-D,
IMP-819,Pump Impeller 6in,Impellers,20,8,333.78,B-10-D,2025-10-03
SER-820,Servo Drive,Servos,22,14,2156.66,E-07-A,2025-12-04
COM-821,Screw Compressor,Compressors,6,20,2113.84,C-07-A,2025-07-30
THE-822,Wireless Thermostat,Thermostats,30,12,137.07,F-03-A,2025-12-21
VAL-823,Ball Valve 1/2in,Valves,13,12,123.96,D-15-B,2025-11-27
FIL-824,Oil Filter Cartridge,Filters,11,7,56.47,F-10-B,
BEA-825,Roller Bearing 6205,Bearings,24,6,77.51,B-15-D,
HOS-826,Water Hose,Hoses,30,6,63.98,F-12-A,
FIL-827,Hydraulic Filter 10 Micron,Filters,11,14,39.6,B-02-C,2025-09-28
SEA-828,O-Ring Set,Seals,14,8,163.98,E-17-B,2025-10-02
COM-829,Scroll Compressor,Compressors,21,14,1829.58,E-14-D,2025-09-21
BEL-830,Flat Belt 6in,Belts,14,13,66.73,B-05-A,2025-08-14
PUM-831,Centrifugal Pump 3HP,Pumps,14,19,1161.4,C-03-B,
CYL-832,Tie-Rod Cylinder,Cylinders,17,20,950.6,D-15-A,2025-12-01
ENC-833,Rotary Encoder,Encoders,19,15,701.62,B-16-B,
FIL-834,Oil Filter Cartridge,Filters,18,20,44.12,F-13-A,2025-09-01
COI-835,Condenser Coil,Coils,13,9,333.55,D-05-A,
MOT-836,DC Motor 3HP,Motors,2,15,482.41,C-06-D,2025-11-11
HOS-837,Air Hose 50ft,Hoses,2,7,67.11,B-07-C,2025-09-27
HOS-838,Chemical Transfer Hose,Hoses,30,18,57.44,B-07-C,
BEL-839,Flat Belt 6in,Belts,6,19,53.22,B-08-B,
VAL-840,Check Valve 2in,Valves,13,7,160.86,B-15-A,
PUM-841,Gear Pump,Pumps,13,17,1218.43,D-12-A,2025-07-20
MOT-842,AC Motor 5HP,Motors,24,13,507.04,F-01-A,
COM-843,Screw Compressor,Compressors,0,12,2835.0,C-02-A,
MOT-844,DC Motor 3HP,Motors,1,6,615.29,B-07-C,2025-08-06
CYL-845,Pneumatic Cylinder,Cylinders,30,12,954.52,E-20-D,2025-11-02
SER-846,Servo Controller,Servos,2,17,1770.9,C-10-B,
BEA-847,Thrust Bearing,Bearings,2,13,118.39,E-08-B,2025-07-27
SEA-848,Mechanical Seal - Type A,Seals,3,8,180.25,B-10-D,
FIL-849,Air Filter Element,Filters,6,6,57.87,D-08-D,2025-10-06
CYL-850,Tie-Rod Cylinder,Cylinders,18,5,648.42,A-12-D,2025-10-05
MOT-851,Servo Motor,Motors,3,8,589.08,A-09-C,
MOT-852,AC Motor 5HP,Motors,6,5,496.79,E-06-B,
BEA-853,Roller Bearing 6205,Bearings,30,8,94.81,C-11-D,2025-07-27
BEL-854,Flat Belt 6in,Belts,17,12,78.9,B-14-B,2025-10-10
BEA-855,Ball Bearing SKF,Bearings,15,8,127.36,B-18-A,2025-10-17
FIL-856,Air Filter Element,Filters,11,6,44.61,F-14-A,2025-07-29
ENC-857,Incremental Encoder,Encoders,1,20,634.71,A-13-D,2025-11-09
ENC-858,Rotary Encoder,Encoders,27,6,874.2,F-13-A,2025-11-08
VAL-859,Solenoid Valve 24V,Valves,6,16,189.22,B-10-C,
SEA-860,Face Seal Assembly,Seals,26,17,168.9,E-17-D,2025-09-28
FIL-861,Oil Filter Cartridge,Filters,4,8,35.51,A-10-B,
BEL-862,Serpentine Belt,Belts,5,15,84.82,F-18-D,
VAL-863,Solenoid Valve 24V,Valves,3,17,144.87,E-08-B,
BEA-864,Pillow Block Bearing,Bearings,23,7,107.04,F-07-D,2025-09-12
IMP-865,Pump Impeller 6in,Impellers,2,6,265.2,E-14-C,
MOT-866,Servo Motor,Motors,21,16,611.91,A-01-C,2025-12-02
BEA-867,Thrust Bearing,Bearings,12,11,103.43,C-01-C,2025-11-01
MOT-868,AC Motor 5HP,Motors,16,6,527.67,C-14-B,2025-11-02
HOS-869,Water Hose,Hoses,3,8,42.79,A-11-C,2025-07-25
THE-870,Wireless Thermostat,Thermostats,29,6,224.53,F-11-C,
PUM-871,Centrifugal Pump 3HP,Pumps,25,12,1319.54,B-10-D,
HOS-872,Air Hose 50ft,Hoses,20,12,75.51,C-07-D,
CYL-873,Welded Cylinder,Cylinders,20,13,934.58,F-16-A,
SER-874,Servo Motor 2kW,Servos,1,9,1667.98,A-07-A,2025-12-16
ENC-875,Incremental Encoder,Encoders,24,5,848.03,D-04-B,2025-10-07
FIL-876,Hydraulic Filter 10 Micron,Filters,15,15,49.23,E-01-A,2025-09-07
SEA-877,O-Ring Set,Seals,11,13,203.51,E-18-B,2025-12-01
COI-878,Cooling Coil,Coils,29,17,447.48,B-17-A,2025-09-06
FIL-879,Oil Filter Cartridge,Filters,5,9,41.25,D-01-C,2025-10-03
HOS-880,Air Hose 50ft,Hoses,1,14,64.83,E-08-C,2025-08-27
HOS-881,Air Hose 50ft,Hoses,17,5,73.62,A-08-D,2025-08-25
PUM-882,Submersible Pump,Pumps,28,19,1354.17,D-11-C,2025-07-14
SER-883,Servo Motor 2kW,Servos,9,7,1696.41,E-19-A,2025-08-02
BEL-884,V-Belt A-Section,Belts,12,6,84.56,B-10-A,
CYL-885,Pneumatic Cylinder,Cylinders,18,20,714.71,D-20-C,2025-12-12
IMP-886,Open Impeller,Impellers,25,7,275.47,C-03-D,
CYL-887,Welded Cylinder,Cylinders,0,5,580.93,E-01-C,2025-12-04
SER-888,Servo Gearbox,Servos,8,20,1272.03,E-18-A,
HOS-889,Water Hose,Hoses,30,13,61.61,C-03-A,2025-11-23
COM-890,Scroll Compressor,Compressors,28,7,2080.35,B-02-A,2025-09-04
SEA-891,Face Seal Assembly,Seals,27,14,145.61,A-15-D,
FAN-892,Axial Fan 24in,Fans,28,18,347.97,F-06-A,2025-11-05
BEL-893,Serpentine Belt,Belts,6,14,95.62,C-18-C,2025-08-15
COM-894,Reciprocating Compressor,Compressors,29,18,2822.87,E-06-D,2025-12-03
IMP-895,Open Impeller,Impellers,2,13,386.45,E-12-B,2025-08-11
BEL-896,Flat Belt 6in,Belts,17,15,80.99,A-06-C,2025-07-26
BEA-897,Thrust Bearing,Bearings,6,11,89.64,F-12-D,2025-12-18
COM-898,Scroll Compressor,Compressors,21,16,2789.46,F-15-D,2025-08-22
MOT-899,AC Motor 5HP,Motors,25,18,383.42,C-03-C,2025-07-15
HOS-900,Air Hose 50ft,Hoses,25,18,58.2,F-14-A,2025-10-12
SER-901,Servo Controller,Servos,8,7,2193.02,B-12-A,2025-08-17
MOT-902,DC Motor 3HP,Motors,11,15,617.41,E-18-A,
VAL-903,Solenoid Valve 24V,Valves,5,11,108.13,A-10-A,2025-08-26
FAN-904,Centrifugal Fan,Fans,17,19,350.14,D-12-C,
HOS-905,Water Hose,Hoses,0,18,58.69,B-11-C,
COI-906,Cooling Coil,Coils,22,11,343.81,C-01-A,2025-08-22
VAL-907,Solenoid Valve 24V,Valves,15,8,164.52,A-04-A,
COM-908,Scroll Compressor,Compressors,24,16,3049.86,D-17-D,2025-11-07
SER-909,Servo Drive,Servos,10,8,1265.84,D-12-A,2025-08-03
VAL-910,Pressure Relief Valve,Valves,21,14,159.01,A-02-C,2025-10-06
HOS-911,Chemical Transfer Hose,Hoses,20,20,67.59,D-05-A,2025-08-24
COI-912,Heating Coil,Coils,2,7,454.89,B-17-D,
VAL-913,Solenoid Valve 24V,Valves,17,19,180.15,E-01-B,
THE-914,Digital Thermostat,Thermostats,17,8,132.44,C-02-C,2025-09-28
SEA-915,Shaft Seal Kit,Seals,22,5,166.12,E-05-A,2025-08-21
SEA-916,Mechanical Seal - Type A,Seals,27,6,190.84,D-12-D,2025-12-21
BEA-917,Ball Bearing SKF,Bearings,8,18,93.63,C-12-B,
VAL-918,Check Valve 2in,Valves,5,10,163.54,E-10-D,2025-11-25
FIL-919,Air Filter Element,Filters,25,17,54.2,B-19-D,2025-08-26
FIL-920,Hydraulic Filter 10 Micron,Filters,14,20,59.56,C-02-D,2025-10-29
BEA-921,Ball Bearing SKF,Bearings,6,14,109.9,C-15-D,
ENC-922,Rotary Encoder,Encoders,13,12,650.87,E-11-C,
BEA-923,Thrust Bearing,Bearings,29,13,122.69,D-04-A,2025-10-18
MOT-924,Stepper Motor,Motors,12,12,560.44,D-14-C,2025-12-06
MOT-925,Stepper Motor,Motors,8,11,449.41,C-14-D,2026-01-10
VAL-926,Solenoid Valve 24V,Valves,25,11,140.41,F-13-B,2025-08-12
HOS-927,Hydraulic Hose 1/2in,Hoses,30,10,75.19,F-04-A,2025-10-30
THE-928,Programmable Thermostat,Thermostats,19,8,212.41,A-14-A,
MOT-929,Servo Motor,Motors,30,13,356.97,D-08-B,2025-12-30
ENC-930,Absolute Encoder,Encoders,25,9,832.34,D-10-B,2025-08-26
COM-931,Screw Compressor,Compressors,8,14,1863.98,B-15-D,2026-01-06
CYL-932,Pneumatic Cylinder,Cylinders,24,11,569.07,E-18-B,
BEL-933,V-Belt A-Section,Belts,2,8,54.18,C-02-D,
CYL-934,Tie-Rod Cylinder,Cylinders,5,6,887.54,A-01-A,
BEL-935,Serpentine Belt,Belts,4,12,68.74,E-14-D,
FAN-936,Cooling Fan,Fans,25,7,299.4,A-14-C,2025-12-22
VAL-937,Pressure Relief Valve,Valves,0,13,114.39,D-17-D,
VAL-938,Check Valve 2in,Valves,26,18,119.05,C-03-B,2025-07-30
BEL-939,Timing Belt,Belts,17,5,66.24,E-15-C,2025-07-18
MOT-940,DC Motor 3HP,Motors,24,13,625.25,D-20-B,
THE-941,Analog Thermostat,Thermostats,18,19,184.18,E-03-D,2025-08-28
SEA-942,Shaft Seal Kit,Seals,13,12,258.7,C-20-A,2025-09-05
FAN-943,Axial Fan 24in,Fans,7,5,291.51,E-09-D,2025-08-08
BEA-944,Roller Bearing 6205,Bearings,14,9,115.39,B-14-A,2025-08-18
FIL-945,Fuel Filter,Filters,23,14,39.51,E-01-D,2025-08-15
CYL-946,Welded Cylinder,Cylinders,7,20,922.81,A-12-A,2025-12-19
CYL-947,Welded Cylinder,Cylinders,19,17,954.16,F-20-B,2025-08-03
ENC-948,Absolute Encoder,Encoders,30,16,1054.99,F-08-D,2025-10-24
COI-949,Condenser Coil,Coils,19,19,432.95,F-14-D,2025-11-07
CYL-950,Pneumatic Cylinder,Cylinders,3,7,956.66,E-06-A,2025-10-19
VAL-951,Pressure Relief Valve,Valves,26,8,146.24,E-12-C,
FAN-952,Exhaust Fan,Fans,16,12,402.66,C-13-C,2025-12-19
VAL-953,Pressure Relief Valve,Valves,20,12,105.0,B-15-B,2025-08-31
SER-954,Servo Gearbox,Servos,16,18,1501.2,A-05-B,
VAL-955,Check Valve 2in,Valves,8,16,174.92,E-17-A,
BEA-956,Ball Bearing SKF,Bearings,15,6,90.06,E-08-A,2025-10-19
MOT-957,Servo Motor,Motors,2,13,631.17,D-10-A,2025-12-10
COI-958,Heating Coil,Coils,10,20,413.4,D-09-A,
SER-959,Servo Gearbox,Servos,17,11,1822.64,F-12-B,2025-08-31
ENC-960,Absolute Encoder,Encoders,2,18,1042.24,C-05-D,2025-11-15
FAN-961,Exhaust Fan,Fans,22,16,380.37,D-06-D,2025-09-18
HOS-962,Air Hose 50ft,Hoses,17,14,53.1,D-05-A,2025-08-30
CYL-963,Hydraulic Cylinder 4in,Cylinders,11,10,700.62,B-17-C,2025-09-07
COI-964,Evaporator Coil,Coils,11,13,416.49,C-07-A,2026-01-09
THE-965,Programmable Thermostat,Thermostats,25,8,129.46,A-07-A,2025-08-25
HOS-966,Water Hose,Hoses,20,12,63.42,B-13-D,2025-10-31
COI-967,Evaporator Coil,Coils,10,18,486.05,B-10-B,2025-07-23
PUM-968,Centrifugal Pump 3HP,Pumps,15,15,1086.09,E-05-D,
VAL-969,Ball Valve 1/2in,Valves,18,18,193.88,F-09-D,2025-08-30
COM-970,Scroll Compressor,Compressors,4,16,2897.77,E-11-C,
COM-971,Reciprocating Compressor,Compressors,8,18,2102.53,C-20-B,2025-11-29
FAN-972,Centrifugal Fan,Fans,22,15,393.87,C-08-B,2025-10-04
VAL-973,Check Valve 2in,Valves,17,7,123.47,E-08-B,
THE-974,Digital Thermostat,Thermostats,13,18,213.24,D-08-C,
THE-975,Analog Thermostat,Thermostats,10,15,229.14,B-15-B,2025-08-01
MOT-976,Servo Motor,Motors,28,16,606.14,E-03-D,
SER-977,Servo Motor 2kW,Servos,3,9,1698.76,D-04-A,2025-07-19
PUM-978,Diaphragm Pump,Pumps,29,7,1545.25,B-14-D,
PUM-979,Submersible Pump,Pumps,29,9,1166.27,C-16-A,2025-09-23
THE-980,Analog Thermostat,Thermostats,11,7,229.06,F-06-B,2025-11-10
BEA-981,Ball Bearing SKF,Bearings,9,16,112.32,F-18-B,
BEA-982,Roller Bearing 6205,Bearings,7,5,122.79,F-18-D,2025-10-19
SEA-983,Face Seal Assembly,Seals,11,14,162.61,F-14-B,2025-08-06
ENC-984,Rotary Encoder,Encoders,15,18,1121.66,D-09-D,
MOT-985,Stepper Motor,Motors,13,15,577.14,E-05-A,2025-09-24
BEA-986,Thrust Bearing,Bearings,17,17,104.74,B-04-B,
FAN-987,Axial Fan 24in,Fans,25,12,282.04,A-08-A,2025-08-24
HOS-988,Air Hose 50ft,Hoses,29,13,77.41,D-04-D,
HOS-989,Air Hose 50ft,Hoses,9,16,43.45,A-14-B,2025-11-16
CYL-990,Hydraulic Cylinder 4in,Cylinders,4,9,911.17,F-12-B,
ENC-991,Rotary Encoder,Encoders,27,10,1026.77,A-03-D,
COM-992,Reciprocating Compressor,Compressors,26,11,3227.01,D-11-A,2025-11-06
VAL-993,Check Valve 2in,Valves,13,5,120.94,F-16-C,2025-09-20
MOT-994,Stepper Motor,Motors,11,11,371.77,F-09-A,2025-11-26
HOS-995,Water Hose,Hoses,26,11,77.38,B-03-A,2025-10-29
MOT-996,DC Motor 3HP,Motors,11,9,627.3,D-15-A,2025-10-22
THE-997,Programmable Thermostat,Thermostats,20,17,143.63,A-07-A,2025-10-21
COI-998,Condenser Coil,Coils,8,14,351.86,A-15-D,2025-12-02
VAL-999,Solenoid Valve 24V,Valves,14,5,150.56,D-19-A,2025-12-22
